중심 POI X 좌표,중심 POI Y 좌표,관광지명,주소,중심카테고리 명_대,분류,순위
126.3176,33.3075,제주신화월드/메리어트리조트관,제주 서귀포시 신화역사로304번길 38-0,숙박,숙박,74
126.3448,33.3965,아르떼뮤지엄/제주,제주 제주시 어림비로 478-0,관광지,문화관광,75
126.7020,33.2733,금호리조트/제주,제주 서귀포시 태위로 522-12,숙박,숙박,76
126.3707,33.3004,뽀로로&타요테마파크/제주,제주 서귀포시 병악로 269-0,관광지,문화관광,77
126.9505,33.4921,천진항,제주 제주시,관광지,자연관광,78
126.7532,33.4137,보롬왓,제주 서귀포시 번영로 2350-104,관광지,기타관광,79
126.2899,33.2062,송악산둘레길,제주 서귀포시,관광지,레저스포츠,80
126.3106,33.4588,한담해안산책로,제주 제주시 애월로 0-0,관광지,레저스포츠,81
126.5179,33.5189,라마다프라자제주호텔,제주 제주시 탑동로 66-0,숙박,숙박,82
126.6281,33.4369,제주절물자연휴양림,제주 제주시 명림로 584-0,관광지,자연관광,83
126.8418,33.3225,제주민속촌,제주 서귀포시 민속해안로 631-34,관광지,역사관광,84
126.9432,33.5023,홍조단괴해빈,제주 제주시,관광지,자연관광,85
126.6349,33.3093,휴애리자연생활공원,제주 서귀포시 신례동로 256-0,관광지,문화관광,86
126.4921,33.4697,한라수목원,제주 제주시 수목원길 72-0,관광지,자연관광,87
126.4059,33.2446,파르나스호텔/제주,제주 서귀포시 중문관광로72번길 100-0,숙박,숙박,88
126.3158,33.3067,제주신화월드/신화리조트관,제주 서귀포시 신화역사로304번길 38-0,숙박,숙박,89
126.6237,33.2523,쇠소깍,제주 서귀포시 쇠소깍로 128-0,관광지,기타관광,90
126.4025,33.2545,히든클리프호텔앤네이쳐,제주 서귀포시 예래해안로 542-0,숙박,숙박,91
126.8998,33.4396,빛의벙커,제주 서귀포시,관광지,문화관광,92
126.4142,33.2526,제주여미지식물원,제주 서귀포시 중문관광로 93-0,관광지,문화관광,93
126.5817,33.2465,서귀포칼호텔,제주 서귀포시 칠십리로 242-0,숙박,숙박,94
126.8010,33.4879,메이즈랜드,제주 제주시 비자림로 2134-47,관광지,문화관광,95
126.5212,33.5179,이마트/제주점,제주 제주시 탑동로 38-0,관광지,쇼핑,96
126.5863,33.5260,삼양해수욕장,제주 제주시,관광지,자연관광,97
126.2430,33.3548,더마파크,제주 제주시 월림7길 155-0,관광지,레저스포츠,98
126.3050,33.2762,점보빌리지,제주 서귀포시 평화로319번길 31-11,관광지,문화관광,99
126.4105,33.2485,롯데호텔/제주점,제주 서귀포시 중문관광로72번길 35-0,숙박,숙박,100
