업종대분류명,업종중분류명,중분류 소비액(천원)
쇼핑업,면세점,1.3057244E7
쇼핑업,관광기념품,5909819.0
쇼핑업,레저용품쇼핑,5426372.0
쇼핑업,대형쇼핑몰,1.6541174E7
숙박업,호텔,1.9956425E7
숙박업,콘도,1.2247204E7
숙박업,캠핑장/펜션,149383.0
숙박업,기타숙박,1.8490416E7
식음료업,식음료,5.5803448E7
여가서비스업,카지노,0.0
여가서비스업,관광유원시설,786472.0
여가서비스업,골프장,3797505.0
여가서비스업,스키장,0.0
여가서비스업,기타레저,912.0
여가서비스업,문화서비스,1422820.0
여행업,여행업,1322816.0
운송업,육상운송,21342.0
운송업,수상운송,385247.0
운송업,항공운송,437386.0
운송업,렌터카,1.1259214E7
